20220409	21:53:59	7662159c-95a3-4f26-8a4f-8a7e2c07f185	GET 	 undefined 	 /
20220410	12:07:17	701fd43d-f82e-4d3b-aad5-f49f80a1d278	GET 	 undefined 	 /subdir
20220410	12:07:20	3fb28400-af64-40c6-a8d7-80b52bc3ac18	GET 	 undefined 	 /subdir/
20220410	12:07:26	8135b552-0060-42be-aa59-88f76943438c	GET 	 undefined 	 /subdir/test
20220410	12:08:28	be81d3e6-6fd4-4270-9087-fcabf597dcac	GET 	 undefined 	 /
20220410	12:08:28	b25fdf07-084f-4165-a8d9-39042c0a4da8	GET 	 undefined 	 /css/style.css
20220410	12:08:48	21958bfe-bddb-4aaa-8524-eeee762b01e5	GET 	 undefined 	 /subdir/
20220410	12:08:51	a8202d95-75ef-4fe7-b633-238d46e24f32	GET 	 undefined 	 /subdir
20220410	12:13:28	3cd2e167-d9a6-4911-89b0-3bbcbe3f348e	GET 	 undefined 	 /subdir
20220410	12:13:31	aa5ed4dd-f400-4075-ae60-0e13f5689085	GET 	 undefined 	 /subdir
20220410	12:13:37	0cc5d8ef-d708-462e-a31e-a297e1cd9231	GET 	 undefined 	 /subdir
20220410	12:13:41	1be2bbf2-f864-454a-8218-79d5b19cf5cc	GET 	 undefined 	 /subdir/test
20220410	12:13:48	d7887743-7c89-4b83-a5aa-16fbb25849ea	GET 	 undefined 	 /subdir/test
20220410	12:13:52	a70d36f1-4c98-440b-8e75-2598fc272c00	GET 	 undefined 	 /
20220410	12:13:52	ba0fb3c7-784b-42e3-a302-cee5e96a609c	GET 	 undefined 	 /css/style.css
20220410	12:13:58	313f0835-05a2-4b90-9947-9240205f4f45	GET 	 undefined 	 /subdir/
20220410	12:14:53	96aab9c8-5ea3-4621-a831-d343ac3880db	GET 	 undefined 	 /subdir/
20220410	12:15:13	dbdf7a3c-cf81-4b81-955b-72aa6f4d8c03	GET 	 undefined 	 /subdir/test
20220410	12:15:20	9027affa-3701-4882-97a4-3a9fefe2b8f2	GET 	 undefined 	 /subdir/test123
20220410	12:22:47	62b06d1b-b0d3-4dd9-bc33-25b100fe4dd1	GET 	 undefined 	 /subdir/test123
20220410	12:24:02	0b393114-2879-418f-8af8-5f1327606843	GET 	 undefined 	 /
20220410	12:24:02	efecb0ee-edfa-4a63-8e39-bb5c2bd1966e	GET 	 undefined 	 /css/style.css
20220410	12:24:11	d41e6929-83ff-4025-ad7a-53786dd853f3	GET 	 undefined 	 /new-page
20220410	12:40:18	7a647a44-0141-4111-a79d-8dd3ce69e834	GET 	 undefined 	 /employees
20220410	12:40:37	2c17309b-8a78-4f50-873a-a2b3f9f14a41	GET 	 undefined 	 /employees
20220410	12:42:13	88bdbefb-1be4-4f8b-acce-598211a71e47	POST 	 undefined 	 /employees
20220410	12:42:21	2d37c215-df68-4ff2-b8f9-abb363947495	POST 	 undefined 	 /employees
20220410	12:50:29	7b3565a0-e323-46b9-bc3b-4bf5390a89b0	GET 	 undefined 	 /employees/1
20220410	12:50:45	03f41801-89b3-4612-93ec-38eeb749977d	GET 	 undefined 	 /employees/12312
20220411	21:02:10	11b3b98b-4b54-4694-a8d8-393532898c23	GET 	 undefined 	 /
20220411	21:02:10	230f8906-d194-4cc5-877e-6dc949feb539	GET 	 undefined 	 /css/style.css
20220417	22:24:59	41e157da-1e05-4ade-88bd-60d949eb088b	GET 	 undefined 	 /
20220417	22:24:59	8b1bfd01-89e5-4ee2-8156-2f904b3be5f6	GET 	 undefined 	 /css/style.css
20220417	22:25:00	5d25c110-7c56-42a9-908b-e8083cea2fe1	GET 	 undefined 	 /favicon.ico
20220417	22:25:02	57774a79-197c-4618-b9d3-1ab0def33a20	GET 	 undefined 	 /css/style.css
20220417	23:00:53	7271143d-60d2-4123-a404-3cee2cd0219b	GET 	 undefined 	 /employees
20220417	23:03:17	09bb9b8f-61c2-4b77-997d-13f792034bd9	GET 	 undefined 	 /employees
20220417	23:04:46	a6c1af1a-03ad-4593-9814-a1d2157b9345	GET 	 undefined 	 /employees
20220417	23:04:46	e4f20e54-16a8-4fa0-975b-288b15c92a61	GET 	 undefined 	 /employees
20220417	23:04:47	c79fadc0-72ff-4685-9f9a-7b5725a33249	GET 	 undefined 	 /employee
20220417	23:04:48	f5547b3f-b0fc-4132-a040-6dc15df4455f	GET 	 undefined 	 /employee
20220417	23:04:50	e0fcaac8-c77d-47b5-8c31-3a82f2e792dd	GET 	 undefined 	 /employees
20220417	23:06:05	cc613cfe-876c-4462-9675-fa38abe1c75d	POST 	 undefined 	 /employees
20220417	23:06:08	707afb83-f8a7-4831-8eef-754dbace0398	POST 	 undefined 	 /employees
20220417	23:06:11	244479f5-d564-4bd1-b396-80c97c711be1	GET 	 undefined 	 /employees
20220417	23:07:21	75e63687-2e10-4cd0-8a9c-18e68d3d3913	POST 	 undefined 	 /employees
20220417	23:10:39	805b48b2-db4f-4e6e-88db-3393494f8105	GET 	 undefined 	 /employees
20220417	23:10:40	f762cabc-0e17-49ec-8643-4f73df42f715	GET 	 undefined 	 /employees
20220417	23:10:40	8d287989-2f81-4299-896d-d5742ed4e5f1	GET 	 undefined 	 /employees
20220417	23:11:16	db1fe68c-3256-4e2b-bb97-47ae41216e14	GET 	 undefined 	 /employees
20220417	23:11:19	fd2d194f-0929-4faf-b5e7-46d543e494f0	POST 	 undefined 	 /employees
20220417	23:11:21	16e25ae2-77b4-46fb-bd2c-a1434dbf655a	POST 	 undefined 	 /employees
20220417	23:11:22	f210ddd8-9cc0-4f9c-a658-d41876dfdb9e	POST 	 undefined 	 /employees
20220417	23:11:22	9a2ffd05-eb34-438e-9856-102b0d7d5650	POST 	 undefined 	 /employees
20220417	23:11:23	f05e6d99-0a42-4f85-86d2-7f1915e67708	POST 	 undefined 	 /employees
20220417	23:11:23	79feb326-54be-427d-aa09-b0dc1b1b7250	POST 	 undefined 	 /employees
20220417	23:11:24	e1f67e7d-8b21-44a0-8e14-28314cd266e9	POST 	 undefined 	 /employees
20220417	23:11:32	f9cd5158-43d4-4314-b3ca-c00940758b2d	POST 	 undefined 	 /employees
20220417	23:12:03	7c945e34-8563-4c10-83e6-bf19c38fd167	POST 	 undefined 	 /employees
20220417	23:12:14	cca8ff84-dda0-4f8a-bdb2-60e0867e2187	PUT 	 undefined 	 /employees
20220417	23:12:15	35438dbd-0eec-4817-b036-73f5836e1638	PUT 	 undefined 	 /employees
20220417	23:13:00	4bad80cb-3545-46ed-9915-cf2c1bb593ee	DELETE 	 undefined 	 /employees
20220417	23:13:10	8bd96a9f-98d2-4d94-8e10-4981b6f52e3e	DELETE 	 undefined 	 /employees
20220417	23:13:16	d5970588-0f74-4c44-911e-3146a15f78bc	DELETE 	 undefined 	 /employees/2
20220417	23:13:20	a456cdba-1d15-47b2-b0bd-58a867279ba1	GET 	 undefined 	 /employees/2
20220417	23:13:21	f4e3935b-d086-4a2c-be63-109c6e00b7a6	GET 	 undefined 	 /employees/2
20220417	23:13:22	2fe4009f-75fe-4e67-a194-95148488c92f	GET 	 undefined 	 /employees/1
20220417	23:13:23	c81aa3fc-37c4-46f7-8c12-2afd04170143	GET 	 undefined 	 /employees/2
